Cuca;http://dbpedia.org/resource/Curitiba
Giovanni van Bronckhorst;http://dbpedia.org/resource/Rotterdam
Ira Davis;http://dbpedia.org/resource/Philadelphia
Carl Sagan;http://dbpedia.org/resource/Brooklyn
Airey Neave;http://dbpedia.org/resource/Knightsbridge
John Taylor (Mormon);http://dbpedia.org/resource/Milnthorpe
Strom Thurmond;http://dbpedia.org/resource/Edgefield,_South_Carolina
Ronald Koeman;http://dbpedia.org/resource/Zaandam
John Kerr, Jr. (soccer);http://dbpedia.org/resource/Toronto
George Wallace;http://dbpedia.org/resource/Clio,_Alabama
Winston Churchill;http://dbpedia.org/resource/Blenheim_Palace
Harry Bright;http://dbpedia.org/resource/Kansas_City,_Missouri
John Jacob Astor, 1st Baron Astor of Hever;http://dbpedia.org/resource/New_York_City
Frank Stapleton;http://dbpedia.org/resource/Dublin
Aleksandr Vasilevsky;http://dbpedia.org/resource/Vichuga
Sander Puri;http://dbpedia.org/resource/Tartu
Eric Cantona;http://dbpedia.org/resource/Marseille
Andrew Bertie;http://dbpedia.org/resource/London
Luis Tejada;http://dbpedia.org/resource/Panama_City
Robbie Rogers;http://dbpedia.org/resource/Rancho_Palos_Verdes,_California
Radamel Falcao;http://dbpedia.org/resource/Santa_Marta
Stephen Constantine;http://dbpedia.org/resource/London
Keith Alexander;http://dbpedia.org/resource/Nottingham
Julie London;http://dbpedia.org/resource/Santa_Rosa,_California
Frank Worthington;http://dbpedia.org/resource/Halifax,_West_Yorkshire
Jack Kerouac;http://dbpedia.org/resource/Lowell,_Massachusetts
H. H. Asquith;http://dbpedia.org/resource/Morley,_West_Yorkshire
Paul Bowles;http://dbpedia.org/resource/Jamaica,_Queens
Richard Nixon;http://dbpedia.org/resource/Yorba_Linda,_California
Kathy Acker;http://dbpedia.org/resource/New_York_City
Anselm of Canterbury;http://dbpedia.org/resource/Aosta
Albert Luque;http://dbpedia.org/resource/Terrassa
Roger Lemerre;http://dbpedia.org/resource/Bricquebec
Mark Cooper (footballer, born 1968);http://dbpedia.org/resource/Wakefield
Noor Inayat Khan;http://dbpedia.org/resource/Moscow
Lord Byron;http://dbpedia.org/resource/London
Maniche;http://dbpedia.org/resource/Lisbon
C. S. Lewis;http://dbpedia.org/resource/Belfast
Ariza Makukula;http://dbpedia.org/resource/Kinshasa
Milton Cruz;http://dbpedia.org/resource/Cubatão
Richard Kingson;http://dbpedia.org/resource/Accra
Albert Ferrer;http://dbpedia.org/resource/Barcelona
Greg Kramer;http://dbpedia.org/resource/Hertfordshire
Henry Paget, 1st Marquess of Anglesey;http://dbpedia.org/resource/London
Paul Tillich;http://dbpedia.org/resource/Starosiedle
Charles Gbeke;http://dbpedia.org/resource/Abidjan
Demba Ba;http://dbpedia.org/resource/Sèvres
Anwar al-Awlaki;http://dbpedia.org/resource/Las_Cruces,_New_Mexico
Elmo Zumwalt;http://dbpedia.org/resource/San_Francisco
Grzegorz Szamotulski;http://dbpedia.org/resource/Gdańsk
Sani Kaita;http://dbpedia.org/resource/Kano
Mircea Lucescu;http://dbpedia.org/resource/Bucharest
Charles Mingus;http://dbpedia.org/resource/Nogales,_Arizona
L. Ron Hubbard;http://dbpedia.org/resource/Tilden,_Nebraska
Gregg Berhalter;http://dbpedia.org/resource/Englewood,_New_Jersey
Jimi Hendrix;http://dbpedia.org/resource/Seattle
Joseph Campbell;http://dbpedia.org/resource/White_Plains,_New_York
Kevin Harmse;http://dbpedia.org/resource/Johannesburg
Alvin Lee;http://dbpedia.org/resource/Nottingham
Sonny Anderson;http://dbpedia.org/resource/Goiatuba
Mateiu Caragiale;http://dbpedia.org/resource/Bucharest
Zamfir Arbore;http://dbpedia.org/resource/Chernivtsi
Roy Hodgson;http://dbpedia.org/resource/Croydon
Mordecai Kaplan;http://dbpedia.org/resource/Švenčionys
Kaba Diawara;http://dbpedia.org/resource/Toulon
Chris Iwelumo;http://dbpedia.org/resource/Coatbridge
Giovani dos Santos;http://dbpedia.org/resource/Monterrey
Joanna of Castile;http://dbpedia.org/resource/Toledo,_Spain
Alec Douglas-Home;http://dbpedia.org/resource/Mayfair
G. K. Chesterton;http://dbpedia.org/resource/Kensington
Eduardo Hurtado;http://dbpedia.org/resource/Esmeraldas,_Ecuador
Bukola Oriola;http://dbpedia.org/resource/Nigeria
Kalu Uche;http://dbpedia.org/resource/Aba,_Abia
Jane Addams;http://dbpedia.org/resource/Cedarville,_Illinois
Carl Valentine;http://dbpedia.org/resource/Manchester
Andrey Korotayev;http://dbpedia.org/resource/Moscow
Maurice Edu;http://dbpedia.org/resource/Fontana,_California
Ike Turner;http://dbpedia.org/resource/Clarksdale,_Mississippi
Landon Donovan;http://dbpedia.org/resource/Ontario,_California
Selena;http://dbpedia.org/resource/Lake_Jackson,_Texas
Diego Simeone;http://dbpedia.org/resource/Palermo,_Buenos_Aires
Deke Slayton;http://dbpedia.org/resource/Sparta,_Wisconsin
Miles Davis;http://dbpedia.org/resource/Alton,_Illinois
